danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name,artist_name,hot?
0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,audio_features,0WtM2NBVQNNJLh6scP13H8,spotify:track:0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/tracks/0WtM2NBVQNNJLh6scP13H8,https://api.spotify.com/v1/audio-analysis/0WtM2NBVQNNJLh6scP13H8,239318,4,calm down,rema & selena gomez,hot
0.517,0.675,6,-5.382,1,0.0357,0.459,0.0,0.151,0.518,203.853,audio_features,59uQI0PADDKeE6UZDTJEe8,spotify:track:59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/tracks/59uQI0PADDKeE6UZDTJEe8,https://api.spotify.com/v1/audio-analysis/59uQI0PADDKeE6UZDTJEe8,163855,4,last night,morgan wallen,hot
0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,101.19,audio_features,1Y3LN4zO1Edc2EluIoSPJN,spotify:track:1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/tracks/1Y3LN4zO1Edc2EluIoSPJN,https://api.spotify.com/v1/audio-analysis/1Y3LN4zO1Edc2EluIoSPJN,176440,3,until i found you,stephen sanchez,hot
0.534,0.466,6,-6.98,1,0.0272,0.277,0.0,0.0979,0.23,140.0,audio_features,7trjNYF5ek7zX4GKSHQZbP,spotify:track:7trjNYF5ek7zX4GKSHQZbP,https://api.spotify.com/v1/tracks/7trjNYF5ek7zX4GKSHQZbP,https://api.spotify.com/v1/audio-analysis/7trjNYF5ek7zX4GKSHQZbP,277660,4,wait in the truck,hardy featuring lainey wilson,hot
0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,audio_features,48UKTR66uUOT9LaUvooTNx,spotify:track:48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/tracks/48UKTR66uUOT9LaUvooTNx,https://api.spotify.com/v1/audio-analysis/48UKTR66uUOT9LaUvooTNx,224427,4,the kind of love we make,luke combs,hot
0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,audio_features,0O6u0VJ46W86TxN9wgyqDj,spotify:track:0O6u0VJ46W86TxN9wgyqDj,https://api.spotify.com/v1/tracks/0O6u0VJ46W86TxN9wgyqDj,https://api.spotify.com/v1/audio-analysis/0O6u0VJ46W86TxN9wgyqDj,192841,4,i like you (a happier song),post malone featuring doja cat,hot
0.848,0.512,3,-7.72,0,0.102,0.228,0.00232,0.0879,0.572,120.009,audio_features,2wSTnntOPRi7aQneobFtU4,spotify:track:2wSTnntOPRi7aQneobFtU4,https://api.spotify.com/v1/tracks/2wSTnntOPRi7aQneobFtU4,https://api.spotify.com/v1/audio-analysis/2wSTnntOPRi7aQneobFtU4,181840,4,shirt,sza,hot
0.587,0.632,9,-5.416,1,0.0311,0.148,1.01e-05,0.158,0.392,139.974,audio_features,5ZCjp56T8J6d7amJyFSzrI,spotify:track:5ZCjp56T8J6d7amJyFSzrI,https://api.spotify.com/v1/tracks/5ZCjp56T8J6d7amJyFSzrI,https://api.spotify.com/v1/audio-analysis/5ZCjp56T8J6d7amJyFSzrI,199040,4,heart like a truck,lainey wilson,hot
0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,audio_features,59nOXPmaKlBfGMDeOVGrIK,spotify:track:59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/tracks/59nOXPmaKlBfGMDeOVGrIK,https://api.spotify.com/v1/audio-analysis/59nOXPmaKlBfGMDeOVGrIK,189893,4,wait for u,future featuring drake & tems,hot
0.529,0.602,7,-4.629,1,0.0458,0.299,0.0,0.0716,0.756,157.643,audio_features,0IKeDy5bT9G0bA7ZixRT4A,spotify:track:0IKeDy5bT9G0bA7ZixRT4A,https://api.spotify.com/v1/tracks/0IKeDy5bT9G0bA7ZixRT4A,https://api.spotify.com/v1/audio-analysis/0IKeDy5bT9G0bA7ZixRT4A,271862,4,bebe dame,fuerza regida x grupo frontera,hot
