,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,cluster,cluster_9,cluster_14,hot_or_not
4SDgTLDYrJ2UrHbkRkg7MD,0.717,0.598,5,-5.613,0,0.0809,0.22,0.0,0.122,0.496,153.905,151040,3,2,12,N
5PNvgiKSwMdjBsDsgFCFLX,0.881,0.661,11,-7.681,0,0.0343,0.098,0.0187,0.101,0.965,124.023,181306,3,2,3,N
1xK1Gg9SxG8fy2Ya373oqb,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,232853,0,1,5,N
6t94PGXYAuo9GbJEnMpPcW,0.656,0.662,1,-1.387,1,0.191,0.149,8.32e-06,0.16,0.573,189.984,307435,0,4,5,N
3XbxOKMhF5DnOYue7JMsYm,0.66,0.591,7,-9.404,0,0.113,0.371,0.00805,0.21,0.222,94.028,220773,3,5,12,N
5VIlWNT4PbYNoZLwVNz4lk,0.643,0.75,11,-4.755,0,0.294,0.00531,0.0,0.298,0.208,75.3,222377,4,8,12,N
3lWzVNe1yFZlkeBBzUuZYu,0.46,0.564,9,-10.329,0,0.0343,0.538,0.0,0.191,0.962,135.178,139845,3,2,0,N
6Vw7SyOg1BcWvGpyPzWgEa,0.672,0.799,9,-5.507,1,0.0381,0.00649,0.0,0.0694,0.917,135.079,205915,0,1,1,N
1is8gU4RVcN4J8xItxWoOY,0.422,0.34,0,-6.577,1,0.0351,0.877,1.77e-05,0.149,0.223,77.213,204094,1,0,4,N
5cgXYVjt3tEaM8l3wZiSiV,0.797,0.639,1,-4.317,1,0.387,0.114,0.0,0.0589,0.677,175.94,200961,4,8,10,N
6Xlske5nAmkPb123IfyZ5S,0.566,0.701,0,-5.815,0,0.058,0.137,0.107,0.0924,0.154,74.998,198592,3,5,12,N
0GYS14rwcsMXhYMP57W164,0.7,0.42,0,-9.646,1,0.0304,0.724,0.000213,0.117,0.283,119.93,168125,1,0,0,N
3ZCTVFBt2Brf31RLEnCkWJ,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,245426,6,3,6,N
51Fjme0JiitpyXKuyQiCDo,0.843,0.39,2,-7.899,1,0.0846,0.178,0.0,0.137,0.495,129.972,160627,5,4,7,N
0yvPEnB032fojLfVluFjUv,0.706,0.643,11,-6.929,0,0.234,0.0242,0.0,0.262,0.885,143.931,203760,3,2,3,N
0gWQBwxwQRum86Rx4DaDHL,0.45,0.877,8,-4.604,0,0.162,0.0371,7.46e-05,0.0724,0.483,144.891,205241,3,5,12,N
38qQqIxE80HGZWbhCfN7hp,0.641,0.576,8,-6.772,1,0.139,0.564,0.0,0.114,0.622,77.005,273233,1,1,0,N
1gK70fcr4UnSDmP7KXtH0F,0.572,0.716,2,-8.829,1,0.253,0.591,0.0,0.0878,0.466,139.991,293143,4,5,8,N
35KmOEIUqAGn02t7n4qaIr,0.885,0.68,11,-3.837,0,0.0848,0.131,1.77e-05,0.0875,0.78,97.003,200267,3,2,3,N
5KCbr5ndeby4y4ggthdiAb,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,172693,3,5,12,N
762K1h8yVV5IgAVuEMpqfZ,0.408,0.27,7,-11.568,1,0.0438,0.661,0.829,0.516,0.14,127.15,459467,6,3,11,N
1LhMopPAallLeaeNutqbgS,0.707,0.632,10,-7.031,1,0.0789,0.103,1.09e-05,0.0841,0.372,97.04,278893,0,1,9,N
7tGDXCPLpAScEwmqab9YZd,0.422,0.969,7,-0.824,1,0.0591,0.00585,0.0,0.533,0.496,92.524,223187,2,6,13,N
0T4t1PywlNmJGcveGH5spB,0.358,0.275,5,-8.324,0,0.0277,0.704,1.04e-06,0.11,0.117,103.581,241763,1,0,4,N
6CxN2UG4gvo4GEVw5VZYv5,0.777,0.721,6,-6.097,1,0.0719,0.0774,0.0,0.0801,0.665,161.976,205013,0,1,5,N
7crqSyRvbetPDRqCREnGdj,0.571,0.667,6,-7.475,1,0.105,0.656,0.0,0.174,0.686,80.025,168000,5,1,0,N
1ko2lVN0vKGUl9zrU0qSlT,0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,438493,1,5,8,N
59qrUpoplZxbIZxk6X0Bm3,0.789,0.711,2,-4.248,1,0.041,0.0332,0.0,0.0876,0.753,112.985,190306,5,4,1,N
7HWoshfGrU2PjqAoqCegbt,0.738,0.546,11,-8.178,0,0.399,0.774,4.51e-06,0.0621,0.801,180.09,184000,4,8,10,N
2ixygoa1o3CdZknv1PPjyj,0.782,0.697,1,-5.85,1,0.0618,0.32,0.0,0.144,0.416,76.031,220080,5,4,7,N
5k38wzpLb15YgncyWdTZE4,0.589,0.731,2,-6.343,1,0.0868,0.0534,0.0,0.308,0.191,87.908,268867,5,5,7,N
7jftylvYTpTrQVTWNlwxcB,0.787,0.629,11,-3.878,1,0.0964,0.0744,1.71e-06,0.0936,0.325,129.902,183827,0,1,9,N
54flyrjcdnQdco7300avMJ,0.693,0.497,2,-7.316,1,0.119,0.679,0.0,0.258,0.473,81.308,122067,5,0,0,N
5wWAwzGp2OaaoIkwcz6wZs,0.63,0.446,1,-8.9,1,0.0351,0.337,0.0,0.166,0.177,143.078,202193,1,0,7,N
4ruTyQ3CxjN99XAgrhpF0g,0.537,0.625,4,-5.514,1,0.0634,0.581,0.0,0.0881,0.411,208.225,270000,0,5,5,N
7wUW5qYK19RlL6ljqDbc5x,0.505,0.707,3,-6.89,1,0.101,0.0129,0.0,0.139,0.214,128.303,174419,0,5,7,N
2UTdgOtXy9Vwd9XKPMLHjd,0.788,0.89,0,-4.164,1,0.0469,0.0462,0.000907,0.357,0.692,88.022,228707,5,4,1,N
0iRKVjfQzpr41T3WsU7shl,0.651,0.864,8,-5.799,0,0.225,0.378,0.0,0.227,0.812,181.936,162363,3,2,5,N
4ZKSXSToPLPt7U4xUHntV2,0.71,0.538,9,-8.802,1,0.0333,0.976,0.147,0.1,0.919,145.025,171311,1,0,0,N
2wOfDoTh9AQxQBNMm0QGuo,0.943,0.563,6,-7.058,0,0.139,0.0935,1.31e-06,0.0745,0.793,100.006,291440,3,2,3,N
3qukYaYSxIUBcq5UIUIsPf,0.733,0.568,1,-5.987,1,0.0462,0.341,0.0,0.232,0.502,123.079,187332,5,4,7,N
39ujbBjTwwqUFySaCYDMMT,0.77,0.824,1,-6.491,0,0.0851,0.485,0.0,0.318,0.49,172.006,178605,3,2,2,N
3EikYy40GMSp8l5mDV6IQo,0.881,0.623,1,-9.662,1,0.119,0.257,1.5e-06,0.0964,0.745,88.953,129547,5,4,1,N
5AnCLGg35ziFOloEnXK4uu,0.583,0.655,0,-5.407,1,0.0315,0.111,3.57e-06,0.113,0.201,119.759,278747,5,5,7,N
7lwvxYumAEo10lzAplRGXM,0.531,0.583,7,-9.47,1,0.0256,0.0184,0.00624,0.255,0.207,139.503,387160,0,5,8,N
5iwz1NiezX7WWjnCgY5TH4,0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,238200,3,2,3,N
1w8bpps9WEVfwity4uSt9K,0.734,0.576,8,-7.281,1,0.0599,0.161,0.000389,0.112,0.307,89.982,177474,0,1,9,N
1nYzjrdVQ8RpF93M0jPFW7,0.679,0.61,7,-10.936,0,0.0305,0.585,9.51e-05,0.156,0.554,123.978,227186,3,2,0,N
7HMmFQsKsljwTw8bS7lu19,0.838,0.545,5,-6.713,1,0.0706,0.208,8.01e-05,0.103,0.631,114.998,220590,5,1,1,N
6kPJZM97LwdG9QIsT7khp6,0.737,0.636,11,-4.546,0,0.0437,0.0441,6.66e-05,0.35,0.565,105.005,222653,3,2,3,N
1THSD8mLHDQ1Yy7IRpKYAJ,0.92,0.534,11,-4.47,0,0.0779,0.000561,0.91,0.0373,0.415,126.048,139048,6,7,11,N
0wT8y0PDt13GngVq1uGXbY,0.382,0.675,4,-7.212,0,0.0655,0.0121,0.0,0.141,0.189,139.109,197533,3,5,12,N
0sTlGEld0h8kIPZaKDYUf4,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,195121,0,5,5,N
2SbzdGpOKlH3HIAGTWTbwU,0.574,0.734,1,-2.697,1,0.0728,0.241,0.00806,0.0962,0.769,98.023,255507,5,4,1,N
2EgB4n6XyBsuNUbuarr4eG,0.884,0.698,0,-9.101,1,0.364,0.0405,0.0,0.195,0.575,140.068,191938,4,8,10,N
527k23H0A4Q0UJN3vGs0Da,0.629,0.692,5,-8.045,1,0.0376,0.00981,0.331,0.603,0.453,162.948,167916,2,6,13,N
3DZQ6mzUkAdHqZWzqxBKIK,0.71,0.598,5,-7.598,0,0.0319,0.508,0.0,0.0971,0.501,119.981,256320,3,2,12,N
1xQ6trAsedVPCdbtDAmk0c,0.767,0.481,0,-8.52,0,0.0803,0.234,0.0,0.269,0.761,150.076,171375,3,2,2,N
4COGASZEbAxmH6k5gYMo6G,0.894,0.721,4,-5.829,0,0.258,0.155,0.0,0.154,0.392,107.963,335737,4,8,8,N
1XJ93XskwJf7PCyIVLbNBt,0.803,0.384,7,-6.522,1,0.179,0.573,0.0,0.194,0.503,141.926,210147,4,8,0,N
6A8dnC0xkiuWN4BshmTB2I,0.617,0.642,8,-8.624,1,0.0334,0.13,0.157,0.0929,0.221,105.885,194013,0,5,9,N
3tZs3nVjySLbL320lP4mvs,0.414,0.314,1,-12.943,0,0.0548,0.25,1.47e-05,0.117,0.09,84.993,200133,1,0,4,N
5BC6kr6etk2Y9J62AyI4i3,0.31,0.891,4,-1.66,1,0.0469,0.00157,0.0,0.284,0.748,184.886,270027,0,5,5,N
33IHBjSXpamVSajAQ3wSER,0.726,0.54,0,-6.046,0,0.217,0.524,1.07e-05,0.117,0.456,92.114,160341,4,8,2,N
4qknM1pQz53QOyfDVTjcM9,0.74,0.879,9,-2.251,0,0.105,0.193,8.25e-05,0.0928,0.948,103.71,226893,3,2,3,N
3Ds86qFI6PrJIRBdr8MelR,0.79,0.657,1,-6.528,1,0.244,0.049,1.96e-06,0.0731,0.842,159.151,196226,5,4,1,N
6VxuSFyAV3AjGsmI4GQq8d,0.708,0.777,3,-4.822,0,0.0434,0.2,0.0,0.184,0.775,100.002,231644,3,2,2,N
1mlGScrDQqHqmhdIqE8MmA,0.69,0.973,2,-3.588,1,0.0492,0.126,0.0,0.101,0.772,143.957,231533,5,4,1,N
7nbIGbDitZIYoMrMsXunAu,0.768,0.319,7,-8.304,1,0.0333,0.849,1.21e-05,0.0971,0.625,113.477,242827,1,0,0,N
4XqXNU8MwPHwbgZmNXmAdc,0.85,0.756,11,-3.439,0,0.0407,0.0999,0.0,0.0873,0.896,120.024,168601,3,2,3,N
5hF6VYE61LV6Jr6dy86CvI,0.67,0.429,7,-10.084,1,0.308,0.673,2.72e-05,0.12,0.453,76.949,206467,4,8,0,N
7cA3PnUQDlUyBBwpRozQeo,0.706,0.358,6,-8.331,1,0.0347,0.677,0.0,0.107,0.478,75.991,186240,1,0,0,N
4hQ6UGyWQIGJmHSo0J88JW,0.601,0.724,6,-4.856,1,0.0486,0.0945,1.68e-06,0.12,0.508,102.061,207905,0,1,9,N
1CF5kzz5XDBAL24wtVyyTJ,0.934,0.658,0,-8.052,1,0.108,0.411,0.000738,0.0809,0.344,110.015,117363,5,4,7,N
3f7zVrAcCZ1BVlArmg8wzr,0.951,0.798,9,-7.168,0,0.11,0.0332,1.2e-05,0.0936,0.961,134.015,172388,3,2,3,N
0swoHiwTazywpoqiKDUtGQ,0.765,0.701,11,-4.089,0,0.058,0.0579,0.0,0.334,0.758,103.998,191639,3,2,3,N
67vjEOTkBppbVLUUq5mEJz,0.307,0.74,1,-4.089,1,0.14,0.0324,0.000678,0.486,0.362,142.92,167090,2,6,13,N
7GfXjqXD9aBvDoBdZ7EwPH,0.753,0.846,2,-6.846,1,0.0936,0.193,0.0,0.29,0.636,147.871,205126,5,4,1,N
12Df1GI1bZGHG5l0PvvxRc,0.436,0.611,5,-5.328,0,0.0548,0.283,0.0,0.276,0.151,159.707,195375,3,5,12,N
29JrmE89KgRyCxBIzq2Ocw,0.873,0.495,6,-5.446,1,0.0518,0.199,0.0,0.0805,0.546,106.033,202062,5,1,9,N
3CPVEod8rIrAxE9EfqDS5P,0.637,0.644,6,-6.543,0,0.0407,0.499,0.0,0.0772,0.207,107.865,238889,3,5,12,N
4xqrdfXkTW4T0RauPLv3WA,0.357,0.425,5,-7.301,1,0.0333,0.584,0.0,0.322,0.27,102.078,198040,1,0,4,N
4UxaMIzEAHLGmNeLoutSaL,0.785,0.787,7,-4.401,1,0.145,0.347,7.26e-06,0.12,0.339,95.031,199579,0,1,9,N
7FL5iSLdKcersBgDiwijis,0.484,0.935,11,-3.546,0,0.042,0.0037,0.0359,0.305,0.707,139.991,261440,3,2,3,N
5peJfpkLPMilv44VqUa2AS,0.722,0.824,7,-3.108,1,0.0441,0.134,0.0,0.257,0.504,128.007,286827,0,1,9,N
3uUuGVFu1V7jTQL60S1r8z,0.671,0.636,6,-8.117,0,0.103,0.515,0.000411,0.172,0.262,120.966,148197,3,2,12,N
4iW7tWBqjx0U4KZDTxT40R,0.862,0.349,10,-11.796,0,0.133,0.193,0.00126,0.0876,0.207,113.021,172837,4,8,12,N
5wndZcQD947ZNuzPfFagh3,0.608,0.666,10,-8.246,0,0.0816,0.15,0.0,0.103,0.33,78.997,156456,3,2,12,N
3Z7JMhKrVBiMvMd0xV1vyI,0.652,0.847,6,-5.031,1,0.0552,0.188,0.0,0.378,0.515,163.939,196803,0,1,5,N
73XKpKKQ0KEOXZaedIjp4y,0.359,0.68,0,-6.986,0,0.129,0.0125,0.0,0.0823,0.33,139.698,254165,3,5,12,N
67jvGGbJmOmVonlyX3mNkV,0.755,0.772,3,-4.539,0,0.154,0.0605,9.19e-05,0.223,0.586,168.062,233160,3,2,2,N
77xp5NlTBLmomb10ktsH4Q,0.761,0.674,7,-5.256,0,0.0517,0.266,4.39e-06,0.19,0.7,90.016,175373,3,2,3,N
15GIJTUYhVUO9zLJ2t8qcg,0.899,0.665,6,-3.891,1,0.0447,0.178,0.0,0.124,0.833,122.059,186393,5,1,1,N
2EH7Pp6rLf2yJ5Jkhw8CRR,0.592,0.632,1,-5.941,0,0.261,0.463,0.0,0.124,0.422,99.967,174512,4,8,10,N
6tkMQQ5bJ6g0YF6d18iavC,0.776,0.735,7,-5.34,0,0.0502,0.139,0.0,0.0693,0.663,93.017,188472,3,2,3,N
1BxqXAvRM5uFjCQ6lCG328,0.778,0.518,2,-7.873,1,0.182,0.0246,0.000162,0.0743,0.731,179.036,194413,5,4,5,N
0zzVTGyRrWpQu8Fr28NRAv,0.743,0.837,1,-5.025,0,0.0649,0.0172,0.0,0.0743,0.263,103.072,159863,3,2,12,N
2r69ZhXm40bzjGIPdRvaqk,0.741,0.542,8,-4.726,1,0.0262,0.368,0.0,0.162,0.763,79.998,193621,5,1,9,N
6KUQvfFKLMF2fL3xFXoZbG,0.838,0.507,6,-7.869,1,0.13,0.302,9.67e-06,0.0561,0.77,99.777,170307,5,1,1,N
5YnxnTS89l3FElIwfIAeSs,0.719,0.598,9,-6.254,1,0.077,0.232,0.0,0.115,0.303,142.592,126521,0,1,9,N
03IBnHJvOQBr4dy3RguAph,0.667,0.871,0,-4.905,0,0.0343,0.00569,0.00655,0.165,0.187,128.042,201560,3,5,12,N
4NUt1fcnO9aQAELBgXq3Kr,0.642,0.442,8,-9.115,1,0.074,0.491,1.58e-06,0.102,0.465,148.01,231773,1,0,0,N
2d6Rpz91tksIznqw75Fdpq,0.687,0.384,7,-11.457,0,0.101,0.259,0.0,0.0825,0.659,99.854,167213,3,2,0,N
2vXKRlJBXyOcvZYTdNeckS,0.658,0.671,2,-12.21,1,0.0363,0.0933,0.000927,0.115,0.166,100.966,202093,5,5,7,N
5q8tv5MwOOtUkbkHsDe2W9,0.642,0.518,0,-8.148,0,0.0326,0.656,0.0,0.107,0.174,92.089,171893,1,0,12,N
57Ba26w9eoXx8BBUNgRNLV,0.656,0.665,1,-1.387,1,0.189,0.149,8.33e-06,0.16,0.569,189.984,307435,0,4,5,N
175xPRXSrf7RSWdjAhc6oD,0.787,0.429,4,-9.145,0,0.0717,0.456,0.0,0.269,0.428,113.049,121593,3,2,0,N
3ogkFdjmZGO1zf3JUleIOJ,0.658,0.837,1,-8.281,1,0.0483,0.079,0.925,0.106,0.0397,127.987,424350,6,7,11,N
4tJYqq9gYr0RATc1BpDkpy,0.794,0.845,9,-4.646,1,0.265,0.227,0.0,0.843,0.627,138.325,321653,2,6,13,N
1l3uEsaasADIaVxRZkn4vn,0.859,0.481,9,-6.791,1,0.112,0.0546,0.0,0.0902,0.557,132.169,210362,0,1,9,N
2R6LC73jLhgOekUBfTcE23,0.445,0.783,7,-4.879,0,0.0317,0.245,0.0,0.144,0.347,135.981,237000,3,5,12,N
29TPjc8wxfz4XMn21O7VsZ,0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,193234,5,4,1,N
3j84U36KvLeXNDPv4t5pI8,0.682,0.559,0,-5.545,1,0.127,0.174,0.0,0.344,0.137,202.015,192471,0,5,5,N
31M5m42C3EGlbydf9XB5to,0.769,0.721,10,-4.483,0,0.153,0.111,5.9e-05,0.0505,0.618,94.978,207720,3,2,3,N
50MF3Fnl2ukA1EHVzOCUYX,0.662,0.785,11,-5.769,0,0.0359,0.134,0.0,0.498,0.896,127.994,195814,2,6,13,N
2374M0fQpWi3dLnB54qaLX,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893,1,0,0,N
1xPienWGv0WkWl7YpCZxWf,0.774,0.802,0,-5.789,0,0.0415,0.453,0.0,0.17,0.788,100.001,141000,3,2,2,N
7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,8,-5.599,1,0.0338,0.414,0.0,0.111,0.661,95.01,244960,0,1,9,N
6PDlkWmrq2ZKiUuFt2aQsH,0.77,0.899,8,-2.981,1,0.0494,0.222,1.14e-06,0.0894,0.851,128.05,231604,0,1,1,N
69Y5IZuBvGyzySFt5x7kCq,0.605,0.8,10,-3.018,1,0.312,0.518,0.000128,0.0763,0.732,92.284,236731,4,1,10,N
0T5MzYymxrAHLn5DngipCV,0.834,0.65,6,-4.276,1,0.0372,0.532,0.0,0.128,0.877,120.008,232680,5,1,1,N
5jf0PmPCHefQ78uAzqIqbj,0.788,0.477,4,-7.348,1,0.0434,0.549,0.0,0.349,0.86,94.983,213027,5,4,0,N
5y7DaS3jAc9eZzcSOoUIwU,0.714,0.761,5,-4.596,0,0.0427,0.139,0.00035,0.241,0.906,168.022,230693,3,2,2,N
27oFpFktCq9JIXjJQRuv7a,0.728,0.584,10,-7.255,0,0.176,0.0524,0.0,0.0658,0.365,161.9,166852,3,8,12,N
5bQLsyTrUaMQRfr6whwGe5,0.457,0.495,4,-6.044,1,0.0797,0.62,0.000228,0.109,0.311,79.513,295039,1,0,4,N
4euXJuErBCqH2LEApfxI6i,0.685,0.341,2,-10.434,1,0.0354,0.798,0.0,0.0951,0.42,123.015,202927,1,0,0,N
0dD17UWACV5aYTyeS6af1k,0.747,0.586,6,-8.799,1,0.0591,0.261,2.78e-05,0.11,0.176,99.986,194400,0,5,7,N
3QGsuHI8jO1Rx4JWLUh9jd,0.444,0.819,10,-4.078,0,0.341,0.106,0.0,0.107,0.747,82.695,187973,4,8,10,N
6GzApXoBQiiAjak3tOQfV3,0.611,0.52,0,-5.445,1,0.0346,0.0132,0.0,0.105,0.771,159.927,149878,5,4,5,N
4Q8aDd3H6LF8t4eY7So9O8,0.81,0.625,11,-3.593,0,0.071,0.0407,1.53e-06,0.118,0.598,100.019,137448,3,2,3,N
2aItJ1oeMxElBTGhGc2nGf,0.746,0.57,1,-7.631,1,0.0643,0.341,9.07e-05,0.235,0.911,128.02,172565,5,4,1,N
6kgIfsrBMGROn31uyhDoJC,0.433,0.419,9,-9.428,1,0.0331,0.515,0.0,0.0969,0.18,129.78,281627,1,0,4,N
70lnL3QaSOIIyMa2X9aVRL,0.75,0.76,1,-4.836,1,0.198,0.187,0.0,0.0548,0.893,183.817,195213,5,4,5,N
3xtvbmRrXAb5m5ng0KPMSk,0.584,0.857,2,-5.103,1,0.033,0.00416,0.000896,0.276,0.742,108.027,216707,5,4,1,N
3lTL4LdFKVF51lseI2nk5D,0.875,0.613,3,-7.229,0,0.21,0.688,0.0,0.114,0.752,119.964,212320,4,8,2,N
0fLOPPoyIaPTe8dm2Mrft3,0.739,0.733,1,-3.933,1,0.0818,0.703,0.0,0.117,0.389,128.271,214125,5,4,7,N
1i1fxkWeaMmKEB4T7zqbzK,0.532,0.869,11,-5.094,1,0.172,0.157,0.00508,0.136,0.422,159.803,208373,0,1,5,N
4MR1AZhe1p0zTuH2HGhX9L,0.774,0.774,9,-4.19,1,0.0516,0.233,7.76e-05,0.138,0.489,95.998,222302,0,1,9,N
3M214U0mwSm041GsQR3nrO,0.609,0.619,11,-5.677,1,0.311,0.749,0.0,0.264,0.689,179.71,168067,4,8,5,N
3CYH422oy1cZNoo0GTG1TK,0.664,0.666,8,-2.203,1,0.0446,0.193,0.0,0.0854,0.405,139.987,210560,0,1,9,N
4JWbH50WabthGhmtduR8b9,0.591,0.848,9,-4.396,0,0.0828,0.137,0.0,0.372,0.385,105.924,246816,2,2,12,N
6Z36wt7oo6xm2uGN00PnTq,0.55,0.704,6,-11.162,0,0.0304,0.024,0.81,0.151,0.488,136.013,182375,6,7,11,N
3ZPKocroJIcnHGcnJVlLKD,0.534,0.784,8,-3.59,1,0.0339,0.205,0.00579,0.106,0.6,92.147,238627,0,1,9,N
2gEnmy9yDEJ9l2mCVEj826,0.715,0.74,0,-4.367,1,0.0393,0.000192,0.000203,0.103,0.525,130.015,509538,5,5,8,N
0LuyEvEI5XiHbvTBcXEf5S,0.756,0.829,5,-3.787,1,0.0318,0.348,0.0,0.313,0.821,103.047,213693,5,1,1,N
4v127RccPJ9eoCkrewJgsZ,0.626,0.889,2,-4.73,1,0.0343,0.0903,0.0,0.106,0.45,92.982,251290,5,4,7,N
0MMyJUC3WNnFS1lit5pTjk,0.695,0.575,10,-6.334,0,0.116,0.198,0.0,0.0614,0.699,163.929,173160,3,2,3,N
1YMBg7rOjxzbya0fPOYfNX,0.784,0.757,8,-3.912,1,0.0384,0.495,1.18e-06,0.142,0.587,104.996,198286,0,1,9,N
3kPoN8XULJZsGu9YKNeoRT,0.889,0.91,6,-3.126,1,0.0518,0.0396,0.0036,0.0589,0.761,128.004,198750,5,1,1,N
70APCdHsWV5BEsacwjzXmd,0.718,0.416,5,-8.758,1,0.0675,0.796,1.85e-06,0.0992,0.642,132.074,218481,1,0,0,N
4l62h4tiuUwn7eD6hxMlVQ,0.79,0.714,1,-7.86,0,0.202,0.00142,0.0,0.111,0.559,150.033,217678,3,2,2,N
0UN0qSJUnWWvIOgv3nYY2A,0.721,0.568,0,-10.492,0,0.0267,0.258,0.0978,0.128,0.795,99.017,180606,3,2,2,N
6mO5fCJKvB9tr5RAFvBO7z,0.552,0.543,6,-6.272,1,0.0277,0.421,0.0,0.107,0.181,132.103,273405,1,5,4,N
3CVb6hkMrlF7eHhXi5B3PZ,0.889,0.705,11,-8.683,0,0.392,0.389,1.04e-05,0.0692,0.815,141.069,183830,4,8,10,N
6TZXBJLTIOX6DM6hwCsKw2,0.735,0.603,6,-9.474,0,0.203,0.226,3.56e-05,0.0844,0.429,135.993,326937,3,5,8,N
2FIm6YsSGL5acOqSuJDh5s,0.808,0.586,10,-7.242,0,0.169,0.641,0.0,0.14,0.568,124.041,263288,3,2,3,N
6xW2g0c5uSoa3S6xk9eI4j,0.856,0.721,6,-6.813,0,0.0779,0.178,2.14e-05,0.0913,0.902,100.98,230151,3,2,3,N
7fcEMgPlojD0LzPHwMsoic,0.875,0.858,4,-3.886,1,0.0496,0.081,1.27e-06,0.381,0.7,121.978,187797,5,4,1,N
2MnLkFqY9Rpg9s3Zv6ZJdK,0.727,0.546,0,-4.572,1,0.0437,0.656,0.0,0.122,0.69,106.891,197333,5,4,1,N
3CRDbSIZ4r5MsZ0YwxuEkn,0.734,0.637,4,-5.677,0,0.141,0.0462,2.29e-05,0.0602,0.648,169.977,202333,3,2,2,N
1XdbvPWz4lhyRBMz9cBy8b,0.611,0.688,1,-5.688,1,0.341,0.0264,0.0,0.251,0.393,178.462,132303,4,8,10,N
0E9ZjEAyAwOXZ7wJC0PD33,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905,184560,0,1,9,N
2CpsEzj7bkPfjC4tmU3oAM,0.676,0.303,0,-19.758,1,0.0623,0.0876,0.845,0.0972,0.294,89.983,139027,6,7,11,N
0MVd25c75PYKsta1f19ZoK,0.188,0.0111,5,-37.406,1,0.0503,0.98,0.67,0.102,0.0399,66.45,113737,7,3,6,N
53BkPZwlaLbW77uV9BnJkl,0.621,0.499,6,-6.998,0,0.481,0.385,0.0,0.131,0.421,122.07,145574,4,8,10,N
1yTZjNU4R0pYNpXwyl37bE,0.693,0.443,0,-10.114,1,0.0559,0.825,0.0,0.162,0.95,120.127,140413,5,0,0,N
4MTlIhliwFJnTfbEoctDyB,0.458,0.625,10,-7.053,0,0.18,0.394,0.0,0.107,0.353,78.54,220235,3,5,12,N
4DpNNXFMMxQEKl7r0ykkWA,0.68,0.729,5,-5.077,1,0.0475,0.612,0.0,0.224,0.446,123.97,179867,5,1,7,N
5yUzqd3H7cmJ1no6B4uTzu,0.599,0.79,9,-4.352,0,0.386,0.0213,5.87e-05,0.0778,0.528,100.119,201501,4,8,10,N
7eOkHIcaoUhngxxypM5Ajr,0.753,0.564,10,-7.908,0,0.252,0.114,0.0273,0.359,0.55,77.342,162596,4,8,10,N
1KzGj3xvi9IiY05kBlkm2G,0.697,0.691,2,-4.757,1,0.146,0.214,0.0,0.185,0.305,137.853,239293,5,4,7,N
5FVd6KXrgO9B3JPmC8OPst,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,272394,1,5,7,N
1ThmUihH9dF8EV08ku5AXN,0.935,0.552,10,-9.373,0,0.335,0.111,0.0,0.0952,0.615,99.993,145627,4,8,10,N
5zc46DFDFKyisnEqmqJSZS,0.526,0.797,4,-8.471,0,0.0324,0.171,0.00654,0.0804,0.444,157.019,221667,3,5,12,N
2wnhst8yHA4gKuojAgZedh,0.79,0.655,1,-3.376,1,0.0762,0.464,0.00165,0.0837,0.56,170.023,216414,5,4,5,N
5ib99VpqyHyqRZOgkxfSIU,0.882,0.51,8,-7.714,1,0.327,0.425,9.09e-06,0.265,0.631,133.943,173314,4,8,10,N
41BzKiCrKpUQHS3TP0jmdr,0.664,0.665,10,-3.616,1,0.0879,0.123,0.0,0.411,0.726,173.961,176970,0,1,5,N
2dNhNlpZAtV4lwAFW45LIv,0.83,0.517,6,-6.416,0,0.333,0.399,8.95e-05,0.0916,0.616,171.959,182496,4,8,10,N
48QmG1dfvMuYLxMPt7KSRA,0.742,0.882,7,-2.862,1,0.117,0.0466,0.0,0.206,0.463,102.04,221176,0,1,9,N
0lzhCypEx5engAOUr7Vgev,0.579,0.878,8,-6.107,1,0.0986,0.186,0.0,0.101,0.523,105.033,189132,0,1,9,N
1mea3bSkSGXuIRvnydlB5b,0.486,0.617,5,-7.115,0,0.0287,0.0954,3.23e-06,0.109,0.417,138.015,242373,3,5,12,N
0CXEPVeQDLgDBfvcsQpXq1,0.347,0.354,0,-7.321,1,0.0343,0.709,0.0,0.31,0.207,172.983,228080,1,0,4,N
2XIc1pqjXV3Cr2BQUGNBck,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,4,8,10,N
